# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,1.4489285149466014e-07
0,S1,0,1.74124874519066e-08
0,S1,1,3.3564909074357274e-08
0,S1,2,5.597816254976351e-08
0,S1,3,7.73081723082214e-08
0,S1,4,8.382874483459091e-08
0,S1,5,7.052229733517379e-08
0,S1,6,5.032807948168738e-08
0,S2,0,2.6638449224236638e-09
0,S2,1,3.0286664287615395e-09
0,S2,2,3.2233333779885243e-09
0,S2,3,3.02820568620632e-09
0,S2,4,5.46013545488222e-09
0,S2,5,6.2851253090912e-09
0,S2,6,6.801445184834165e-09
0,S2,7,6.284371689702084e-09
0,S2,8,9.362568498261226e-09
0,S2,9,1.0230069236172312e-08
0,S2,10,1.0894105173520074e-08
0,S2,11,1.023158713309158e-08
0,S2,12,1.2077954636424693e-08
0,S2,13,1.2614952638045906e-08
0,S2,14,1.3082162908517603e-08
0,S2,15,1.2619277178771426e-08
0,S2,16,1.1440213221192153e-08
0,S2,17,1.1658856990948152e-08
0,S2,18,1.1866374549640568e-08
0,S2,19,1.1663416898954893e-08
0,S2,20,7.902857035446686e-09
0,S2,21,7.973613769252097e-09
0,S2,22,8.038414378574998e-09
0,S2,23,7.977168259287737e-09
0,S2,24,4.392993524504618e-09
0,S2,25,4.408001519351501e-09
0,S2,26,4.43110570458316e-09
0,S2,27,4.415275256519635e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,6.84005163620327e-09
0,S2,33,7.758410802694016e-09
0,S2,34,8.165156550887787e-09
0,S2,35,7.757322784129883e-09
0,S2,36,1.4432632866601125e-08
0,S2,37,1.559338969059354e-08
0,S2,38,1.630976775857107e-08
0,S2,39,1.559457629696226e-08
0,S2,40,2.1499769076172015e-08
0,S2,41,2.2332221405463315e-08
0,S2,42,2.2994960602318315e-08
0,S2,43,2.2334678106972206e-08
0,S2,44,2.154622436023601e-08
0,S2,45,2.1929743354576203e-08
0,S2,46,2.227617024175288e-08
0,S2,47,2.193126569238757e-08
0,S2,48,1.5260310348708117e-08
0,S2,49,1.5391997010283376e-08
0,S2,50,1.551149608758351e-08
0,S2,51,1.5391137253573106e-08
0,S2,52,8.636665604910831e-09
0,S2,53,8.684816421578034e-09
0,S2,54,8.72531558115952e-09
0,S2,55,8.694695630140359e-09
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,1.382792991222459e-08
0,S2,65,1.5173293732573256e-08
0,S2,66,1.572142949157751e-08
0,S2,67,1.5159761446170705e-08
0,S2,68,2.7108375988404987e-08
0,S2,69,2.837140655742587e-08
0,S2,70,2.91454256284851e-08
0,S2,71,2.836311630005639e-08
0,S2,72,3.270461945703573e-08
0,S2,73,3.3331222226706814e-08
0,S2,74,3.382802660212292e-08
0,S2,75,3.331795639383017e-08
0,S2,76,2.5171988937700007e-08
0,S2,77,2.5393475766577467e-08
0,S2,78,2.558788381179511e-08
0,S2,79,2.5391576841116148e-08
