# n_samples=1, J=7, L=4, M=1200, N=1200, whiten=False, device=cpu, kinds=S1,S2,S0
sample,kind,index,value
0,S0,0,1.631332366969218e-07
0,S1,0,2.1684522621967517e-08
0,S1,1,4.1494317315482476e-08
0,S1,2,6.834746812955927e-08
0,S1,3,9.258130262423947e-08
0,S1,4,9.655509813910612e-08
0,S1,5,7.56381055566635e-08
0,S1,6,4.93502696485848e-08
0,S2,0,3.4182621178047157e-09
0,S2,1,3.883342536425971e-09
0,S2,2,4.126817554350737e-09
0,S2,3,3.8826244441736435e-09
0,S2,4,7.008409852460318e-09
0,S2,5,8.040515808716009e-09
0,S2,6,8.684093444344398e-09
0,S2,7,8.038933962950523e-09
0,S2,8,1.18931744452766e-08
0,S2,9,1.2950881256301727e-08
0,S2,10,1.3760555361841398e-08
0,S2,11,1.2951277383876914e-08
0,S2,12,1.5119535845542487e-08
0,S2,13,1.5759029636797095e-08
0,S2,14,1.6311561878978864e-08
0,S2,15,1.57546296009059e-08
0,S2,16,1.3986776181695859e-08
0,S2,17,1.4230481681920537e-08
0,S2,18,1.446668118632033e-08
0,S2,19,1.4237903300795551e-08
0,S2,20,9.1815604008616e-09
0,S2,21,9.236938325329902e-09
0,S2,22,9.306937442943308e-09
0,S2,23,9.248008581153044e-09
0,S2,24,5.036696837379395e-09
0,S2,25,5.042934514420949e-09
0,S2,26,5.06055508608938e-09
0,S2,27,5.050282858576338e-09
0,S2,28,
0,S2,29,
0,S2,30,
0,S2,31,
0,S2,32,8.600472334308051e-09
0,S2,33,9.764070441065087e-09
0,S2,34,1.0277805273517515e-08
0,S2,35,9.764395514366697e-09
0,S2,36,1.814945349565278e-08
0,S2,37,1.9566263276260543e-08
0,S2,38,2.0438273296008447e-08
0,S2,39,1.956654216428433e-08
0,S2,40,2.670149790162668e-08
0,S2,41,2.768180351608862e-08
0,S2,42,2.8460995338264183e-08
0,S2,43,2.7675005398464236e-08
0,S2,44,2.6148786247404132e-08
0,S2,45,2.657254327687042e-08
0,S2,46,2.6955454757171537e-08
0,S2,47,2.6574685563218736e-08
0,S2,48,1.7607391100682435e-08
0,S2,49,1.772359325968864e-08
0,S2,50,1.7842769040044004e-08
0,S2,51,1.772579061309898e-08
0,S2,52,9.792339383807303e-09
0,S2,53,9.80721370780202e-09
0,S2,54,9.84438663920173e-09
0,S2,55,9.825900093574091e-09
0,S2,56,
0,S2,57,
0,S2,58,
0,S2,59,
0,S2,60,
0,S2,61,
0,S2,62,
0,S2,63,
0,S2,64,1.70688547740383e-08
0,S2,65,1.8709137350469973e-08
0,S2,66,1.94055065350085e-08
0,S2,67,1.870920485202987e-08
0,S2,68,3.315835073181006e-08
0,S2,69,3.46608928225578e-08
