kind,index,mean,std
S0,0,2.6156583788616504e-07,
S1,0,3.0250837904503446e-08,1.1654755994824861e-08
S1,1,5.774581949582128e-08,2.2018672667254213e-08
S1,2,9.507248426801447e-08,3.5470246894639056e-08
S1,3,1.2746091759482444e-07,4.520707300841865e-08
S1,4,1.3251986661996813e-07,4.389630719772565e-08
S1,5,1.1072279858451876e-07,3.877611853286277e-08
S1,6,8.246685590515964e-08,4.0277474714897346e-08
S2,0,4.741972361008037e-09,1.866930476592351e-09
S2,1,5.360975285001418e-09,2.1018739973103676e-09
S2,2,5.68979791383936e-09,2.226306717297512e-09
S2,3,5.36093406801111e-09,2.101859852585268e-09
S2,4,9.678454368433115e-09,3.786873045324824e-09
S2,5,1.1062781084754448e-08,4.3050364919946465e-09
S2,6,1.1934424697265891e-08,4.634603464506571e-09
S2,7,1.1062713382470019e-08,4.304994211872227e-09
S2,8,1.625118121944225e-08,6.1862091682566524e-09
S2,9,1.76847701708008e-08,6.70345086752357e-09
S2,10,1.878564730294499e-08,7.106325403185317e-09
S2,11,1.768467447526143e-08,6.703301571931322e-09
S2,12,1.994259044009676e-08,7.051695061012843e-09
S2,13,2.0822433516001902e-08,7.346308366511736e-09
S2,14,2.158258039174517e-08,7.604659937678818e-09
S2,15,2.0822611921103562e-08,7.346399563889094e-09
S2,16,1.7446423519707913e-08,5.330574543646282e-09
S2,17,1.779715682491694e-08,5.438332204541461e-09
S2,18,1.8120758696310696e-08,5.539268592028733e-09
S2,19,1.779687384217586e-08,5.438330433870805e-09
S2,20,1.135658204081706e-08,3.0956318043261353e-09
S2,21,1.1463166707624711e-08,3.1281669548692734e-09
S2,22,1.1565303959339294e-08,3.1604585122916065e-09
S2,23,1.1462841918590731e-08,3.1286726615000354e-09
S2,24,6.4316488037088395e-09,1.7421672716575974e-09
S2,25,6.460029874870454e-09,1.7527678903447677e-09
S2,26,6.4881019149004214e-09,1.7641521951781471e-09
S2,27,6.4603918481635826e-09,1.7534042035236288e-09
S2,28,,
S2,29,,
S2,30,,
S2,31,,
S2,32,1.180469447275767e-08,4.50261704016546e-09
S2,33,1.3358251823010744e-08,5.082329794753366e-09
S2,34,1.4050048881403905e-08,5.343582866545366e-09
S2,35,1.3358146477217014e-08,5.082338058595628e-09
S2,36,2.456769676457917e-08,9.14328361680809e-09
S2,37,2.6520746785639653e-08,9.86390658511789e-09
S2,38,2.773225500039389e-08,1.0315319308694379e-08
S2,39,2.6520472174264446e-08,9.863783611181062e-09
S2,40,3.50059191597566e-08,1.2166622553357531e-08
S2,41,3.639451256312902e-08,1.2643778666555598e-08
S2,42,3.749874149775031e-08,1.3027964345624784e-08
S2,43,3.6394539421998185e-08,1.2643691298551772e-08
S2,44,3.263913528134353e-08,9.868353663320245e-09
S2,45,3.326257412133053e-08,1.0066651219734855e-08
S2,46,3.382083327226512e-08,1.0246581873274338e-08
S2,47,3.326187859929638e-08,1.0066390034530378e-08
S2,48,2.1928805163372957e-08,5.960670138835621e-09
S2,49,2.21354060524486e-08,6.02663865922544e-09
S2,50,2.23307243257785e-08,6.090570419276584e-09
S2,51,2.2135026592432165e-08,6.0271069067789884e-09
S2,52,1.265260403893029e-08,3.4327176551048767e-09
S2,53,1.2710511823393234e-08,3.4560914391790257e-09
S2,54,1.2767461995804248e-08,3.480072425098011e-09
S2,55,1.2711622834786754e-08,3.456878463273763e-09
S2,56,,
S2,57,,
S2,58,,
S2,59,,
S2,60,,
S2,61,,
S2,62,,
S2,63,,
S2,64,2.2797555618225324e-08,8.130329582519438e-09
S2,65,2.5127744364150614e-08,8.997537547175881e-09
S2,66,2.6147033318639448e-08,9.382743388980594e-09
S2,67,2.5128053175448626e-08,8.997435799589463e-09
S2,68,4.309023856364759e-08,1.438717485458286e-08
S2,69,4.5306054024587454e-08,1.5210928938170685e-08
S2,70,4.669429047056909e-08,1.573026406342771e-08
S2,71,4.530633042748044e-08,1.5210867604307127e-08
S2,72,4.9199396759564755e-08,1.4534962526231299e-08
S2,73,5.023221886368218e-08,1.4887699437158804e-08
S2,74,5.108162954487656e-08,1.518123721588429e-08
S2,75,5.023096441652752e-08,1.4886891385009692e-08
S2,76,3.6340979071912334e-08,9.808881882263778e-09
S2,77,3.6705094838374e-08,9.934244964268092e-09
S2,78,3.703896468053095e-08,1.0050912723136163e-08
S2,79,3.6703470149054617e-08,9.933844910703714e-09
S2,80,2.1941299996737538e-08,5.9807360013657754e-09
S2,81,2.204903941235638e-08,6.028750026660625e-09
S2,82,2.2154600341723393e-08,6.077053150470004e-09
S2,83,2.2052307207115682e-08,6.029919781619401e-09
S2,84,,
S2,85,,
S2,86,,
S2,87,,
S2,88,,
S2,89,,
S2,90,,
S2,91,,
S2,92,,
S2,93,,
S2,94,,
S2,95,,
S2,96,2.9675274234126703e-08,9.242554969698802e-09
S2,97,3.271240771419362e-08,1.0304647463597438e-08
S2,98,3.4115014562309204e-08,1.0815245089736672e-08
S2,99,3.271448280030573e-08,1.0305818942904656e-08
S2,100,4.8447955585067514e-08,1.3663949033688475e-08
S2,101,5.070714421829678e-08,1.4449354754208919e-08
S2,102,5.2179074374372546e-08,1.4969753477525874e-08
S2,103,5.070648827642413e-08,1.4450327827116278e-08
S2,104,4.64588256533342e-08,1.2423041594613472e-08
S2,105,4.717185622106729e-08,1.2679280609694764e-08
S2,106,4.7778871906136725e-08,1.290760281675629e-08
S2,107,4.7171384971032876e-08,1.2681137286583994e-08
S2,108,3.1600508346293745e-08,8.831515741068363e-09
S2,109,3.179405920647562e-08,8.934675193017561e-09
S2,110,3.1984993465238e-08,9.03965935359361e-09
S2,111,3.180275828997121e-08,8.935390520189021e-09
S2,112,,
S2,113,,
S2,114,,
S2,115,,
S2,116,,
S2,117,,
S2,118,,
S2,119,,
S2,120,,
S2,121,,
S2,122,,
S2,123,,
S2,124,,
S2,125,,
S2,126,,
S2,127,,
S2,128,2.6568192009302253e-08,7.738541473529155e-09
S2,129,2.941780355840029e-08,8.562390772980054e-09
S2,130,3.090370331314814e-08,9.036061433908933e-09
S2,131,2.941836631039481e-08,8.56393388834223e-09
S2,132,3.9109909146548656e-08,1.129095895885627e-08
S2,133,4.091577600831836e-08,1.1889672839399409e-08
S2,134,4.2155955588022904e-08,1.2311688001289579e-08
S2,135,4.0910382298499456e-08,1.1881371624377964e-08
S2,136,3.5505164276633395e-08,1.1223026608983821e-08
S2,137,3.598514250796784e-08,1.1496707286005612e-08
S2,138,3.640358462849759e-08,1.1721724477667815e-08
S2,139,3.598991711384052e-08,1.1490304272076973e-08
S2,140,,
S2,141,,
S2,142,,
S2,143,,
S2,144,,
S2,145,,
S2,146,,
S2,147,,
S2,148,,
S2,149,,
S2,150,,
S2,151,,
S2,152,,
S2,153,,
S2,154,,
S2,155,,
S2,156,,
S2,157,,
S2,158,,
S2,159,,
S2,160,2.0310562245169966e-08,7.204559430343602e-09
S2,161,2.2332637065699117e-08,7.90479519588345e-09
S2,162,2.3500396458597173e-08,8.303626118310795e-09
S2,163,2.232320707516641e-08,7.907745545195751e-09
S2,164,2.8619955487875162e-08,1.1552469818562802e-08
S2,165,2.986304098395968e-08,1.2195479268216715e-08
S2,166,3.076505393667322e-08,1.2647508092654001e-08
S2,167,2.98636724371235e-08,1.2204384604174251e-08
S2,168,,
S2,169,,
S2,170,,
S2,171,,
S2,172,,
S2,173,,
S2,174,,
S2,175,,
S2,176,,
S2,177,,
S2,178,,
S2,179,,
S2,180,,
S2,181,,
S2,182,,
S2,183,,
S2,184,,
S2,185,,
S2,186,,
S2,187,,
S2,188,,
S2,189,,
S2,190,,
S2,191,,
S2,192,1.460130516400428e-08,8.624217092166593e-09
S2,193,1.5964737319232427e-08,9.499467212848973e-09
S2,194,1.6810445060938656e-08,9.953326534552113e-09
S2,195,1.597011496966739e-08,9.49733903547706e-09
