z,M,lon,lat
1.12773732,1.69854165,0.70656855,1.80817254
0.98140663,1.05288016,1.86802390,1.34915432
0.77699570,1.47408660,2.46394457,2.08843810
0.63378894,1.96594998,1.56184294,1.49310902
0.10763860,4.16176939,0.82265995,1.05562552
0.68971923,1.02885040,1.91981376,1.19786419
0.32104326,1.90730287,1.97524666,1.73405967
0.66872981,1.04497093,4.75784858,1.14184466
0.37707145,1.24212668,4.56735828,0.68277820
0.70226683,1.56308856,5.20667107,1.40772413
0.73139713,3.46483898,6.14026976,0.95657466
0.40676213,1.31730772,5.08058846,2.12277362
1.09368202,1.14007818,0.80433208,2.67529801
0.29226260,1.44480219,4.17649544,2.09631395
0.89597358,1.02641037,3.80947633,2.33847852
0.37459320,1.45648321,5.91117529,0.61119833
0.49753807,1.27949442,0.20604071,1.35180699
0.44784551,1.37540576,5.95118750,2.24105701
0.51785870,1.45157974,4.63429662,1.53942204
1.71380322,1.24955950,3.14232174,0.50747618
1.52601057,1.64414830,2.99639122,2.33869395
0.33790804,1.01729231,3.13779058,1.89179997
0.70248076,1.04821258,0.62590904,1.04781224
0.64523256,1.15211467,0.22303841,1.25821399
0.29490491,1.07411973,3.71490682,1.03643677
0.44392797,1.16431861,1.12827643,1.75802740
0.37539579,1.17767049,3.64624490,0.22011123
0.20080495,1.62949571,2.57300022,2.32100166
0.88222084,1.58992612,6.15391482,0.90080466
0.18182120,2.94181870,1.99763699,2.10018188
0.42577089,1.24892648,0.20620580,2.36960269
0.28308959,1.43565514,4.06994865,1.46043533
0.98997780,1.65157278,0.72941661,1.44674749
1.00801706,1.05092274,4.03848076,1.03733883
0.95162768,1.23901467,0.93261285,2.33881515
0.43140014,1.19681560,1.91850620,1.85683050
1.17277886,1.50838506,2.68499797,1.53716903
0.92041736,1.21623214,0.76931905,0.76379832
0.85602011,1.07598451,5.53242849,0.69992954
0.75565721,1.03607829,2.47145477,1.24385571
0.31306070,2.16476573,2.66950052,2.20386403
0.60204663,2.54522757,5.59981640,1.93212891
1.90148570,2.03552042,0.60606596,2.59671833
0.48599125,1.49679075,2.20763355,0.35142402
0.72087383,1.15556688,5.73966525,0.93444812
1.10404840,1.24243914,4.18715531,1.61767597
1.49537141,1.49039145,5.53176981,1.89669641
0.38053450,1.84651046,2.15871138,2.44537752
0.53259445,2.58203656,0.02685699,0.43865672
0.34079262,2.43078856,4.96062114,2.00284492
0.89723109,1.53557355,3.86412800,2.75489361
1.05780035,1.23240368,2.01286104,2.74674019
1.04359822,2.15795078,1.44094797,0.32000616
0.50264806,1.12512585,2.95372127,1.65399473
0.74415215,1.30436932,4.85127740,2.26454870
0.42672500,2.19579757,0.88806483,2.13858162
1.08245706,1.46091681,2.73521175,0.52910139
0.61161025,3.54418928,0.73224789,2.57789104
0.67743869,1.26296033,0.51293963,1.64740853
1.08150776,1.25488649,4.63291788,1.60814863
0.61023213,1.65434152,2.85717174,0.75037154
0.62610719,1.63954528,3.26012810,2.38183659
0.32830566,2.47978499,5.87367923,1.51603839
0.86376443,1.20071577,5.42703045,0.30567550
0.82279902,1.24193229,4.03748489,1.44015593
0.50604132,1.23426731,0.38562136,1.04050108
0.48728952,1.16833813,3.89304845,0.37295456
0.21188269,1.10687097,5.53860965,1.01062050
0.65844491,1.13148252,3.25200324,2.72667360
0.37066101,1.47015817,6.10226218,1.61778507
0.59890703,3.11420924,1.62237195,1.41396558
1.20234066,1.05739521,4.96285435,2.23446913
0.84585216,1.33773486,1.77088862,1.99594216
0.54160733,1.51164017,3.41173288,0.74970919
0.35252016,1.22835256,0.59431341,1.67519865
0.63244041,1.01321243,0.33336899,1.55213462
0.67775201,1.12850059,2.85641086,1.62086448
1.02341354,1.82404890,3.50839978,1.77731107
0.19385156,1.55411773,5.36589764,2.41847308
0.47232742,1.23549439,1.08745538,0.89791732
0.61808854,2.36571865,1.92828201,2.15034180
0.10358534,2.71847773,1.52919446,2.89248960
0.48542585,1.01993638,2.29680188,0.58760832
0.45547555,1.38232817,3.18010935,1.56943567
1.07257415,1.32349992,1.16652557,2.30357054
0.57831622,1.71725099,1.05019679,1.98938683
1.69149623,1.24177981,6.18590904,0.86731669
0.46975970,1.10164633,0.95074074,0.53559560
0.92820648,2.33622565,4.25339804,0.98897816
0.74578417,1.82222831,5.95189457,0.74570281
0.64509900,1.34254527,3.07758792,1.83782925
1.08133165,1.15052848,4.45663763,1.31766551
0.48150793,2.52020009,0.14398435,0.18646910
1.13206439,1.30543884,0.57361126,1.97777392
0.93383826,1.36311431,2.71752193,1.36532264
0.72085777,1.05620864,2.35778200,1.63786507
0.34040775,1.22021678,5.88016926,1.44851815
1.30031795,1.22062751,2.61034155,1.09126655
0.72534455,1.69820216,3.79032141,0.83892449
0.46923292,1.05853240,2.26386410,1.59646162
0.56382666,1.07475430,6.19500270,0.47324141
0.52658208,1.35234542,1.86958411,2.07652165
0.79789078,1.56004877,0.86497063,0.29310417
0.81346676,2.92189283,3.75693254,1.67874640
0.39510838,1.92759627,4.89635456,1.84426131
0.77870283,1.12801542,0.35427383,1.97726609
0.80790994,2.35364503,0.28280734,1.13750485
0.47183623,1.63950286,1.05786971,2.54488833
0.23100354,1.09259533,3.24726594,1.24376115
0.21602078,1.20332572,1.10140002,1.32614538
0.47788381,1.17723604,3.43742189,1.10470204
0.28371131,1.96911419,4.95292821,1.93578105
0.49207935,2.61501007,3.58990593,0.64108632
1.24461130,1.02019407,5.23023800,2.41772753
0.78559181,1.18970674,2.48862741,1.84183241
0.16511187,1.81480009,3.59204597,0.82572617
0.89963531,1.49499920,1.12514436,0.57923212
0.43630845,1.35899981,0.70705209,2.90654302
0.32662123,1.43643897,0.04657044,1.43405075
0.33911364,1.74100140,5.98880973,0.86464376
0.66660036,1.10924274,4.70971957,0.38159040
0.30445207,1.18856945,2.05191374,1.52402567
1.43970941,1.05134321,1.75103973,1.75479829
1.18572416,1.29664342,0.67440842,1.23424259
1.31101442,1.48553295,3.40100108,0.60868579
1.13560778,1.12707196,1.40616310,1.91967218
0.47336554,1.73054239,4.44858916,0.63397626
0.64797407,2.29994353,0.32141999,0.11126196
0.45685144,1.38101711,2.41436957,2.55518740
0.79425129,1.58181567,5.65186135,1.38117266
0.62776547,2.90434824,4.08349444,1.60867696
0.38998160,2.73342027,2.25542645,0.58954070
1.06033586,1.65954400,2.89047531,0.97806457
0.70031821,1.35983901,4.34042629,0.59657053
0.34811339,2.43446151,5.90284535,0.63795621
0.33453424,2.13960654,3.84859696,0.52774547
0.70370298,1.43296941,5.58521722,0.35247870
0.42908774,1.33234587,0.59601297,0.88129719
1.01565647,1.94003694,0.18612729,2.89220481
0.57656137,1.47905212,3.82283303,2.59910923
